id	pop
1	4779736
2	710231
4	6392017
5	2915918
6	37253956
8	5029196
9	3574097
10	897934
11	601723
12	18801310
13	9687653
15	1360301
16	1567582
17	12830632
18	6483802
19	3046355
20	2853118
21	4339367
22	4533372
23	1328361
24	5773552
25	6547629
26	9883640
27	5303925
28	2967297
29	5988927
30	989415
31	1826341
32	2700551
33	1316470
34	8791894
35	2059179
36	19378102
37	9535483
38	672591
39	11536504
40	3751351
41	3831074
42	12702379
44	1052567
45	4625364
46	814180
47	6346105
48	25145561
49	2763885
50	625741
51	8001024
53	6724540
54	1852994
55	5686986
56	563626
72	3725789
